name,birthdate,Favorite_color,Favorite_holiday
Liam hart,8/19/1959,green,earth day
Liam Hart,3/12/1987,purple,earth day
nia Washington,11/28/1992,grey,earth day
nia Washington,11/28/1992,grey,earth day
Diego Alvarez,7/5/1984,sea mist,earth day
Mei-Ling Chen,1/19/1999,lavender,earth day
Ava sinclair,6/3/2001,blue,earth day
Kwame Boateng,4/17/1995,blue,earth day
Clara Royce,8/9/1988,blue,earth day
Takeshi Mori,10/26/1979,red,earth day
Zara Haddad,5/15/1993,red,earth day
Sofia Reyes,2/7/1986,grey,halloween
Sofia Reyes,2/7/1986,grey,halloween
Keisha Morgan,3/28/1998,hazel,earth day
Leo Winters,11/3/1981,red,earth day
Willa Begay,9/27/1990,orange,earth day
Mateo Carvalho,12/12/1985,orange,earth day
Sienna Cross,6/21/1997,orange,earth day
Hassan Rahimi,4/2/1982,egg shell white,earth day
Hassan Rahimi,4/2/1982,egg shell white,earth day
Elise Rowan,7/31/1994,forest green,earth day
Anika Sharma,8/14/1993,amber,earth day
Jonas Lindstrom,2/19/1987,amber,arbor day
Tala Whitefeather,5/6/1991,yellow,arbor day
Marcos Rivera,10/23/1989,yellow,arbor day
